Activation,Learning Rate,Max Iter,Number Epochs,Num Layers,Train Accuracy,Test Accuracy,Train MSE,Test MSE
logistic,0.01,100,69,2,0.5440917107583775,0.5291005291005291,0.4559082892416226,0.4708994708994709
logistic,0.01,100,70,2,0.5445326278659612,0.527336860670194,0.4554673721340388,0.47266313932980597
logistic,0.01,100,71,2,0.5458553791887125,0.5238095238095238,0.4541446208112875,0.47619047619047616
logistic,0.01,100,72,2,0.5458553791887125,0.5238095238095238,0.4541446208112875,0.47619047619047616
logistic,0.01,100,73,2,0.544973544973545,0.5255731922398589,0.455026455026455,0.47442680776014107
logistic,0.01,100,74,2,0.5462962962962963,0.5255731922398589,0.4537037037037037,0.47442680776014107
logistic,0.01,100,75,2,0.5458553791887125,0.527336860670194,0.4541446208112875,0.47266313932980597
logistic,0.01,100,76,2,0.5458553791887125,0.5291005291005291,0.4541446208112875,0.4708994708994709
logistic,0.01,100,77,2,0.5458553791887125,0.5308641975308642,0.4541446208112875,0.4691358024691358
logistic,0.01,100,78,2,0.5436507936507936,0.5343915343915344,0.45634920634920634,0.4656084656084656
logistic,0.01,100,79,2,0.5427689594356261,0.5361552028218695,0.4572310405643739,0.4638447971781305
logistic,0.01,100,80,2,0.5423280423280423,0.5396825396825397,0.4576719576719577,0.4603174603174603
logistic,0.01,100,81,2,0.5427689594356261,0.5414462081128748,0.4572310405643739,0.4585537918871252
logistic,0.01,100,82,2,0.5418871252204586,0.5396825396825397,0.45811287477954143,0.4603174603174603
logistic,0.01,100,83,2,0.5405643738977073,0.5432098765432098,0.45943562610229277,0.4567901234567901
logistic,0.01,100,84,2,0.5427689594356261,0.54673721340388,0.4572310405643739,0.4532627865961199
logistic,0.01,100,85,2,0.5432098765432098,0.54673721340388,0.4567901234567901,0.4532627865961199
logistic,0.01,100,86,2,0.5427689594356261,0.5485008818342152,0.4572310405643739,0.4514991181657848
logistic,0.01,100,87,2,0.5423280423280423,0.5502645502645502,0.4576719576719577,0.4497354497354497
logistic,0.01,100,88,2,0.5423280423280423,0.5537918871252204,0.4576719576719577,0.4462081128747795
logistic,0.01,100,89,2,0.5418871252204586,0.5537918871252204,0.45811287477954143,0.4462081128747795
logistic,0.01,100,90,2,0.5418871252204586,0.5520282186948854,0.45811287477954143,0.4479717813051146
logistic,0.01,100,91,2,0.5427689594356261,0.5520282186948854,0.4572310405643739,0.4479717813051146
logistic,0.01,100,92,2,0.5432098765432098,0.5502645502645502,0.4567901234567901,0.4497354497354497
logistic,0.01,100,93,2,0.5427689594356261,0.5502645502645502,0.4572310405643739,0.4497354497354497
logistic,0.01,100,94,2,0.544973544973545,0.5520282186948854,0.455026455026455,0.4479717813051146
logistic,0.01,100,95,2,0.5445326278659612,0.5502645502645502,0.4554673721340388,0.4497354497354497
logistic,0.01,100,96,2,0.544973544973545,0.5502645502645502,0.455026455026455,0.4497354497354497
logistic,0.01,100,97,2,0.544973544973545,0.54673721340388,0.455026455026455,0.4532627865961199
logistic,0.01,100,98,2,0.5458553791887125,0.54673721340388,0.4541446208112875,0.4532627865961199
logistic,0.01,100,99,2,0.54673721340388,0.54673721340388,0.4532627865961199,0.4532627865961199
logistic,0.01,100,100,2,0.5485008818342152,0.5485008818342152,0.4514991181657848,0.4514991181657848
logistic,0.01,100,1,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,2,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,3,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,4,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,5,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,6,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,7,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,8,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,9,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,10,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,11,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,12,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,13,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,14,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,15,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,16,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,17,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,18,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,19,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,20,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,21,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,22,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,23,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,24,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,25,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,26,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,27,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,28,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,29,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,30,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,31,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,32,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,33,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,34,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,35,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,36,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,37,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,38,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,39,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,40,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,41,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,42,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,43,3,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
